web-scraper-order,web-scraper-start-url,property_type,property_type-href,property_name,prices,categories,commission,bedrooms,bathrooms,garage,amenities,address,area
1606974181-3538,https://meqasa.com/houses-for-rent-in-ghana?w=33,Read more,https://meqasa.com/apartment-for-rent-at-Ringway-104068?y=1350994955,Furnished apartment for rent at Ringway,"GH₵ 6,480","Apartment for Rent

Apartment for Rent in Ringway",null,0,,0,"Air conditioning
Fans
Garden
Swimming pool
Security service
Water reservoir",Ringway,null
1606972024-3397,https://meqasa.com/houses-for-rent-in-ghana?w=41,Read more,https://meqasa.com/house-for-rent-at-Taifa--109160?y=2086383709,3 bedroom house for rent at Taifa,"GH₵ 4,351","House for Rent

House for Rent in Taifa",10.00%,3,4,5,"Air conditioning
Cooker
Washing machine
Fans
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Water reservoir",Taifa,760 m2
1606970179-3268,https://meqasa.com/houses-for-rent-in-ghana?w=49,Read more,https://meqasa.com/house-for-rent-at-Cantonments-115238?y=1833610856,3 bedroom house for rent at Cantonments,"GH₵ 27,195","House for Rent

House for Rent in Cantonments",10.00%,3,3,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,632 m2
1606974933-3590,https://meqasa.com/houses-for-rent-in-ghana?w=29,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-091314?y=1919159053,1 bedroom furnished apartment for rent at Cantonments,"GH₵ 8,100","Apartment for Rent

Apartment for Rent in Cantonments",null,1,1,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,null
1606976361-3670,https://meqasa.com/houses-for-rent-in-ghana?w=24,Read more,https://meqasa.com/apartment-for-rent-at-null-Residential-046117?y=916727511,3 bedroom furnished apartment for rent at null Residential,"GH₵ 16,200","Apartment for Rent

Apartment for Rent in null Area",null,3,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",null Residential,"null

null in null Area"
1606952126-3044,https://meqasa.com/houses-for-rent-in-ghana?w=64,Read more,https://meqasa.com/house-for-rent-at-4-bedroom-house-to-let-at-Eastlegon-Around-Legos-Avenue--093540?y=1367860018,5 bedroom house for rent at 4-bedroom house to-let at Eastlegon Around Legos Avenue,"GH₵ 13,597","House for Rent

House for Rent in Eastlegon Arou",10.00%,5,5,100,"Air conditioning
Cooker
Fans
Refrigerator
Garden
Garage
Security service
Generator
Water reservoir",East Legon,100 m2
1606954517-3177,https://meqasa.com/houses-for-rent-in-ghana?w=55,Read more,https://meqasa.com/house-for-rent-at-Cantonments-107550?y=1670909959,4 bedroom house for rent at Cantonments,"GH₵ 22,843","House for Rent

House for Rent in Cantonments",null,4,6,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Garden
Garage
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,750 m2
1606976965-3704,https://meqasa.com/houses-for-rent-in-ghana?w=22,Read more,https://meqasa.com/apartment-for-rent-at-Osu-026326?y=2144374646,2 bedroom apartment for rent at Osu,,"Apartment for Rent

Apartment for Rent in Osu",null,2,2,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Security service
Generator
Water reservoir",Osu,null
1606975247-3612,https://meqasa.com/houses-for-rent-in-ghana?w=28,Read more,https://meqasa.com/apartment-for-rent-at-Cantonment-081187?y=325684244,1 bedroom apartment for rent at Cantonment,"GH₵ 10,530","Apartment for Rent

Apartment for Rent in Cantonments",null,1,1,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",Cantonment,null
1606973160-3466,https://meqasa.com/houses-for-rent-in-ghana?w=37,Read more,https://meqasa.com/house-for-rent-at-East-Legon-120736?y=1370173893,4 bedroom house for rent at East Legon,"GH₵ 10,878","House for Rent

House for Rent in East Legon",10.00%,4,5,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Water reservoir",East Legon,670 m2
1606974327-3547,https://meqasa.com/houses-for-rent-in-ghana?w=32,Read more,https://meqasa.com/apartment-for-rent-at-Ringway-Estate-080197?y=1634608300,2 bedroom apartment for rent at Ringway Estate,"GH₵ 12,960","Apartment for Rent

Apartment for Rent in Ringway",null,2,2,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",Ringway Estate,null
1606972546-3425,https://meqasa.com/houses-for-rent-in-ghana?w=40,Read more,https://meqasa.com/apartment-for-rent-at-East-Labadi-106232?y=1009363839,1 bedroom furnished apartment for rent at East Labadi,"GH₵ 4,079","Apartment for Rent

Apartment for Rent in East Labadi",null,1,1,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Security service
Generator
Water reservoir",East Labadi,120 m2
1606975565-3633,https://meqasa.com/houses-for-rent-in-ghana?w=27,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-078630?y=1553953660,1 bedroom furnished apartment for rent at Dzorwulu,"GH₵ 8,100","Apartment for Rent

Apartment for Rent in Dzorwulu",null,1,1,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Security service
Generator
Water reservoir",Dzorwulu,null
1606976447-3675,https://meqasa.com/houses-for-rent-in-ghana?w=24,Read more,https://meqasa.com/apartment-for-rent-at-null-Residential-046106?y=916727511,3 bedroom furnished apartment for rent at null Residential,"GH₵ 21,600","Apartment for Rent

Apartment for Rent in null Area",null,3,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",null Residential,"null

null in null Area"
1606952735-3081,https://meqasa.com/houses-for-rent-in-ghana?w=61,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--139105?y=856164064,2 bedroom apartment for rent at Eastlegon,"GH₵ 2,500","Apartment for Rent

Apartment for Rent in Eastlegon",10.00%,2,2,2,"Air conditioning
Cooker
Fans
Security service
Water reservoir",East Legon,100 m2
1606951682-3021,https://meqasa.com/houses-for-rent-in-ghana?w=65,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--021867?y=2142647483,3 bedroom apartment for rent at Eastlegon,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in East Legon",10.00%,3,3,2,"Air conditioning
Security service
Generator
Water reservoir",East Legon,null
1606952081-3040,https://meqasa.com/houses-for-rent-in-ghana?w=64,Read more,https://meqasa.com/house-for-rent-at-Eastlegon--097164?y=1367860018,4 bedroom house for rent at Eastlegon,"GH₵ 3,263","House for Rent

House for Rent in Eastlegon",10.00%,4,4,2,"Air conditioning
Fans
Garden
Security service
Water reservoir",East Legon,100 m2
1606974597-3566,https://meqasa.com/houses-for-rent-in-ghana?w=31,Read more,https://meqasa.com/apartment-for-rent-at-East-Cantonments-104630?y=1445896748,2 bedroom apartment for rent at East Cantonments,"GH₵ 17,820","Apartment for Rent

Apartment for Rent in East Cantonments",null,2,2,0,"Air conditioning
Washing machine
Fans
Refrigerator
Microwave
Garden
Swimming pool
Security service
Water reservoir",Cantonments,null
1606969894-3246,https://meqasa.com/houses-for-rent-in-ghana?w=51,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-115708?y=940208363,2 bedroom apartment for rent at Dzorwulu,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in Dzorwulu",10.00%,2,2,0,Water Reservoir,Dzorwulu,null
1606973886-3517,https://meqasa.com/houses-for-rent-in-ghana?w=34,Read more,https://meqasa.com/apartment-for-rent-at-Ridge-080379?y=1750847146,3 bedroom furnished apartment for rent at Ridge,"GH₵ 16,200","Apartment for Rent

Apartment for Rent in Ridge",null,3,3,0,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",Ridge,null
1606974128-3534,https://meqasa.com/houses-for-rent-in-ghana?w=33,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-119915?y=1350994955,1 bedroom apartment for rent at East Legon,"GH₵ 8,525","Apartment for Rent

Apartment for Rent in East Legon",null,1,1,0,"Air conditioning
Washing machine
Fans
Refrigerator
Microwave
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,null
1606952364-3056,https://meqasa.com/houses-for-rent-in-ghana?w=63,Read more,https://meqasa.com/apartment-for-rent-at-Spintex-114772?y=1523923561,2 bedroom apartment for rent at Spintex,"GH₵ 2,500","Apartment for Rent

Apartment for Rent in Spintex",10.00%,2,2,0,Air Conditioning,Spintex,null
1606952205-3047,https://meqasa.com/houses-for-rent-in-ghana?w=63,Read more,https://meqasa.com/house-for-rent-at-Eastlegon-fully-furnished-4-bedroom-house-to-let--091710?y=1523923561,5 bedroom furnished house for rent at Eastlegon fully furnished 4-bedroom house to-let,"GH₵ 10,878","House for Rent

House for Rent in 4",10.00%,5,6,4,"Garden
Garage
Roof terrace
Security service
Generator
Water reservoir
Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave",East Legon,100 m2
1606953184-3110,https://meqasa.com/houses-for-rent-in-ghana?w=60,Read more,https://meqasa.com/house-for-rent-at-Cantonments-107353?y=496379060,3 bedroom furnished house for rent at Cantonments,"GH₵ 16,317","House for Rent

House for Rent in Cantonments",null,3,4,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,580 m2
1606952553-3068,https://meqasa.com/houses-for-rent-in-ghana?w=62,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--104146?y=1625778834,3 bedroom apartment for rent at Eastlegon,"GH₵ 5,439","Apartment for Rent

Apartment for Rent in Eastlegon",10.00%,3,4,2,"Air conditioning
Cooker
Fans
Refrigerator
Security service
Water reservoir",East Legon,100 m2
1606970235-3274,https://meqasa.com/houses-for-rent-in-ghana?w=49,Read more,https://meqasa.com/townhouse-for-rent-at-Cantonments-097818?y=1833610856,3 bedroom townhouse for rent at Cantonments,"GH₵ 18,492","Townhouse for Rent

Townhouse for Rent in Cantonments",null,3,3,2,"Air conditioning
Cooker
Washing machine
Microwave
Internet
Dstv
Garden
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,null
1606950375-2965,https://meqasa.com/houses-for-rent-in-ghana?w=69,Read more,"https://meqasa.com/house-for-rent-at-Cantonments,-Accra,-Ghana-002836?y=1487288265","4 bedroom house for rent at Cantonments, Accra, Ghana","GH₵ 20,124","House for Rent

House for Rent in Cantonments",null,4,5,0,"Garden
Air conditioning
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,320 m2
1606973914-3519,https://meqasa.com/houses-for-rent-in-ghana?w=34,Read more,https://meqasa.com/townhouse-for-rent-at-Ridge-080371?y=1750847146,3 bedroom townhouse for rent at Ridge,"GH₵ 23,220","Townhouse for Rent

Townhouse for Rent in Ridge",null,3,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Garden
Swimming pool
Security service
Generator
Water reservoir",Ridge,null
1606952562-3069,https://meqasa.com/houses-for-rent-in-ghana?w=62,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon-3-Bedroom-apartment-to-let--102144?y=1625778834,3 bedroom furnished apartment for rent at Eastlegon 3-Bedroom apartment to-let,"GH₵ 13,053","Apartment for Rent

Apartment for Rent in Eastlegon",10.00%,3,4,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,100 m2
1606974103-3532,https://meqasa.com/houses-for-rent-in-ghana?w=33,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-119927?y=1350994955,2 bedroom apartment for rent at East Legon,"GH₵ 10,725","Apartment for Rent

Apartment for Rent in East Legon",null,2,2,0,"Air conditioning
Washing machine
Fans
Refrigerator
Microwave
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,null
1606951056-2986,https://meqasa.com/houses-for-rent-in-ghana?w=67,Read more,https://meqasa.com/apartment-for-rent-at-Labone-147020?y=97217722,3 bedroom furnished apartment for rent at Labone,"GH₵ 10,500","Apartment for Rent

Apartment for Rent in Labone",null,3,3,0,"Internet
Dstv
Security service
Generator
Water reservoir",Labone,null
1606952345-3054,https://meqasa.com/houses-for-rent-in-ghana?w=63,Read more,https://meqasa.com/apartment-for-rent-at-Kokomlemle-116285?y=1523923561,3 bedroom apartment for rent at Kokomlemle,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in Kokomlemle",10.00%,3,3,0,Air Conditioning,Kokomlemle,null
1606972763-3438,https://meqasa.com/houses-for-rent-in-ghana?w=39,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-096170?y=1879539577,1 bedroom furnished apartment for rent at Cantonments,"GH₵ 8,158","Apartment for Rent

Apartment for Rent in Cantonments",null,1,2,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Swimming pool
Security service
Generator
Water reservoir",Cantonments,120 m2
1606971139-3343,https://meqasa.com/houses-for-rent-in-ghana?w=45,Read more,https://meqasa.com/house-for-rent-at-Ridge-119438?y=443975097,5 bedroom furnished house for rent at Ridge,"GH₵ 23,103","House for Rent

House for Rent in Ridge",1 month's rent,5,5,0,Air Conditioning,Ridge,null
1606953382-3119,https://meqasa.com/houses-for-rent-in-ghana?w=59,Read more,https://meqasa.com/apartment-for-rent-at-North-Legon-149456?y=621181473,3 bedroom apartment for rent at North Legon,"GH₵ 3,000","Apartment for Rent

Apartment for Rent in North Legon",10.00%,3,3,0,Air Conditioning,North Legon,1 m2
1606951067-2987,https://meqasa.com/houses-for-rent-in-ghana?w=67,Read more,https://meqasa.com/house-for-rent-at-Abelemkpe-116132?y=97217722,3 bedroom house for rent at Abelemkpe,"GH₵ 5,499","House for Rent

House for Rent in Abelemkpe",10.00%,3,3,0,Air Conditioning,Abelemkpe,null
1606975715-3640,https://meqasa.com/houses-for-rent-in-ghana?w=26,Read more,https://meqasa.com/townhouse-for-rent-at-null-Residential-Area-078146?y=318653378,3 bedroom furnished townhouse for rent at null Residential Area,"GH₵ 16,200","Townhouse for Rent

Townhouse for Rent in null Area",null,3,3,1,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Garden
Annexe (Boys' quarters)
Security service
Generator
Water reservoir",null Residential Area,"null

null in null Area"
1606953973-3152,https://meqasa.com/houses-for-rent-in-ghana?w=57,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-101714?y=1567225531,3 bedroom furnished apartment for rent at Cantonments,"GH₵ 13,053","Apartment for Rent

Apartment for Rent in Cantonments",null,3,4,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,260 m2
1606971614-3371,https://meqasa.com/houses-for-rent-in-ghana?w=43,Read more,https://meqasa.com/house-for-rent-at-East-Legon-090635?y=2001422203,4 bedroom house for rent at East Legon,"GH₵ 19,036","House for Rent

House for Rent in East Legon",null,4,5,6,"Cooker
Washing machine
Fans
Refrigerator
Microwave
Garden
Annexe (Boys' quarters)
Roof terrace
Water reservoir",East Legon,60 m2
1606975007-3595,https://meqasa.com/houses-for-rent-in-ghana?w=29,Read more,https://meqasa.com/townhouse-for-rent-at-Abelemkpe-091300?y=1919159053,4 bedroom townhouse for rent at Abelemkpe,"GH₵ 18,900","Townhouse for Rent

Townhouse for Rent in Abelemkpe",null,4,5,1,"Air conditioning
Cooker
Washing machine
Garden
Garage
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Abelemkpe,null
1606970022-3256,https://meqasa.com/houses-for-rent-in-ghana?w=50,Read more,https://meqasa.com/apartment-for-rent-at-Dzorwulu-071269?y=519855911,2 bedroom furnished apartment for rent at Dzorwulu,"GH₵ 10,878","Apartment for Rent

Apartment for Rent in Dzorwulu",1 month's rent,2,2,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Dzorwulu,250 m2
1606949758-2957,https://meqasa.com/houses-for-rent-in-ghana?w=70,Read more,"https://meqasa.com/house-for-rent-at-East-Legon,-Accra,-Ghana-002385?y=1501934175","6 bedroom house for rent at East Legon, Accra, Ghana","GH₵ 20,124","House for Rent

House for Rent in East Legon",null,6,7,0,"Garden
Air conditioning
Annexe (Boys' quarters)
Generator
Water reservoir",East Legon,600 m2
1606975426-3624,https://meqasa.com/houses-for-rent-in-ghana?w=27,Read more,https://meqasa.com/townhouse-for-rent-at-East-Legon-079438?y=1553953660,3 bedroom furnished townhouse for rent at East Legon,"GH₵ 10,800","Townhouse for Rent

Townhouse for Rent in East Legon",null,3,4,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Swimming pool
Security service
Generator
Water reservoir",East Legon,null
1606969225-3203,https://meqasa.com/houses-for-rent-in-ghana?w=54,Read more,https://meqasa.com/house-for-rent-at-Spintex-137467?y=1242354769,4 bedroom house for rent at Spintex,"GH₵ 4,200","House for Rent

House for Rent in Spintex",5.00%,4,5,4,"Air conditioning
Cooker
Microwave
Water reservoir",Spintex,"1,111 m2"
1606974692-3572,https://meqasa.com/houses-for-rent-in-ghana?w=30,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-098284?y=272599928,1 bedroom furnished apartment for rent at East Legon,"GH₵ 10,800","Apartment for Rent

Apartment for Rent in East Legon",null,1,1,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",East Legon,null
1606971409-3359,https://meqasa.com/houses-for-rent-in-ghana?w=44,Read more,https://meqasa.com/apartment-for-rent-at-East-legon-A&C-Mall-116544?y=604157875,2 bedroom apartment for rent at East legon A&C Mall,"GH₵ 2,719","Apartment for Rent

Apartment for Rent in East legon A&C Mall",10.00%,2,3,5,"Air conditioning
Fans
Internet
Garden
Security service
Water reservoir",East Legon,760 m2
1606976085-3659,https://meqasa.com/houses-for-rent-in-ghana?w=25,Read more,https://meqasa.com/house-for-rent-at-Adjiringanor-Road-046496?y=1128366718,6 bedroom house for rent at Adjiringanor Road,"GH₵ 6,480","House for Rent

House for Rent in Adjiringanor",null,6,5,0,"Garden
Garage
Annexe (Boys' quarters)",Adjiringanor,null
1606973655-3502,https://meqasa.com/houses-for-rent-in-ghana?w=35,Read more,https://meqasa.com/apartment-for-rent-at-TseAddo--121854?y=342687598,2 bedroom apartment for rent at TseAddo,"GH₵ 3,263","Apartment for Rent

Apartment for Rent in TseAddo",10.00%,2,3,3,"Air conditioning
Fans
Microwave
Internet
Garden
Garage
Security service
Water reservoir",Tse Addo,543 m2
1606950936-2981,https://meqasa.com/houses-for-rent-in-ghana?w=68,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-114578?y=470163910,2 bedroom apartment for rent at East Legon,"GH₵ 2,500","Apartment for Rent

Apartment for Rent in East Legon",10.00%,2,2,0,Air Conditioning,East Legon,null
1606971396-3358,https://meqasa.com/houses-for-rent-in-ghana?w=44,Read more,https://meqasa.com/apartment-for-rent-at-Spintex--120073?y=604157875,1 bedroom apartment for rent at Spintex,"GH₵ 1,360","Apartment for Rent

Apartment for Rent in Spiny",10.00%,1,1,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Security service
Generator
Water reservoir",Spintex,"2,000 m2"
1606953109-3105,https://meqasa.com/houses-for-rent-in-ghana?w=60,Read more,https://meqasa.com/apartment-for-rent-at-North-Ridge-117680?y=496379060,3 bedroom apartment for rent at North Ridge,"GH₵ 14,245","Apartment for Rent

Apartment for Rent in North Ridge",10.00%,3,3,0,Air Conditioning,North Ridge,null
1606975266-3614,https://meqasa.com/houses-for-rent-in-ghana?w=28,Read more,https://meqasa.com/apartment-for-rent-at-Cantonment-081184?y=325684244,Furnished apartment for rent at Cantonment,"GH₵ 8,073","Apartment for Rent

Apartment for Rent in Cantonments",null,0,,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Swimming pool
Security service
Generator
Water reservoir",Cantonment,null
1606953874-3146,https://meqasa.com/houses-for-rent-in-ghana?w=57,Read more,https://meqasa.com/house-for-rent-at-Kokomlemle-116304?y=1567225531,3 bedroom house for rent at Kokomlemle,"GH₵ 8,249","House for Rent

House for Rent in Kokomlemle",10.00%,3,3,0,Air Conditioning,Kokomlemle,null
1606952650-3077,https://meqasa.com/houses-for-rent-in-ghana?w=62,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--141004?y=1625778834,2 bedroom apartment for rent at Eastlegon,"GH₵ 2,200","Apartment for Rent

Apartment for Rent in Eastlegon",10.00%,2,2,2,"Air conditioning
Cooker
Fans
Security service
Water reservoir",East Legon,100 m2
1606951156-2994,https://meqasa.com/houses-for-rent-in-ghana?w=67,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--069273?y=97217722,1 bedroom furnished apartment for rent at Eastlegon,"GH₵ 5,439","Apartment for Rent

Apartment for Rent in East Legon",10.00%,1,1,1,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Security service
Water reservoir",East Legon,100 m2
1606969885-3245,https://meqasa.com/houses-for-rent-in-ghana?w=51,Read more,https://meqasa.com/house-for-rent-at-Asylum-Down-117551?y=940208363,3 bedroom house for rent at Asylum Down,"GH₵ 8,547","House for Rent

House for Rent in Asylum Down",10.00%,3,3,0,Air Conditioning,Asylum Down,null
1606952332-3053,https://meqasa.com/houses-for-rent-in-ghana?w=63,Read more,https://meqasa.com/apartment-for-rent-at-Northlegon--118552?y=1523923561,3 bedroom apartment for rent at Northlegon,"GH₵ 2,500","Apartment for Rent

Apartment for Rent in Northlegon",10.00%,3,4,2,"Security service
Water reservoir",North Legon,100 m2
1606972975-3453,https://meqasa.com/houses-for-rent-in-ghana?w=38,Read more,https://meqasa.com/apartment-for-rent-at-East-legon-Gated-community--144305?y=1403054761,3 bedroom apartment for rent at East legon Gated community,"GH₵ 5,000","Apartment for Rent

Apartment for Rent in East legon Gated community",10.00%,3,4,5,"Air conditioning
Fans
Internet
Garden
Water reservoir",East Legon,520 m2
1606974387-3552,https://meqasa.com/houses-for-rent-in-ghana?w=32,Read more,https://meqasa.com/townhouse-for-rent-at-Roman-Ridge-079122?y=1634608300,3 bedroom townhouse for rent at Roman Ridge,"GH₵ 17,712","Townhouse for Rent

Townhouse for Rent in Roman Ridge",null,3,4,0,"Air conditioning
Cooker
Washing machine
Microwave
Garden
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Roman Ridge,null
1606951174-2995,https://meqasa.com/houses-for-rent-in-ghana?w=67,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--068985?y=97217722,2 bedroom apartment for rent at Eastlegon,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in East Legon",10.00%,2,3,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",East Legon,100 m2
1606971028-3335,https://meqasa.com/houses-for-rent-in-ghana?w=45,Read more,https://meqasa.com/house-for-rent-at-null-Hills-067265?y=443975097,4 bedroom house for rent at null Hills,"GH₵ 16,317","House for Rent

House for Rent in null Hills",null,4,4,0,Generator,null Hills,null
1606971840-3387,https://meqasa.com/houses-for-rent-in-ghana?w=42,Read more,https://meqasa.com/house-for-rent-at-East-Legon-089798?y=266945318,4 bedroom house for rent at East Legon,"GH₵ 7,071","House for Rent

House for Rent in East Legon",10.00%,4,5,3,"Air conditioning
Cooker
Fans
Microwave
Internet
Garden
Annexe (Boys' quarters)
Security service
Water reservoir",East Legon,690 m2
1606973928-3520,https://meqasa.com/houses-for-rent-in-ghana?w=34,Read more,https://meqasa.com/apartment-for-rent-at-Ridge-069031?y=1750847146,3 bedroom apartment for rent at Ridge,"GH₵ 13,500","Apartment for Rent

Apartment for Rent in Ridge",null,3,3,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Garden
Swimming pool
Security service
Generator
Water reservoir",Ridge,null
1606973134-3463,https://meqasa.com/houses-for-rent-in-ghana?w=37,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-115924?y=1370173893,2 bedroom apartment for rent at East Legon,"GH₵ 2,719","Apartment for Rent

Apartment for Rent in East Legon",10.00%,2,3,8,"Air conditioning
Cooker
Washing machine
Fans
Internet
Garden
Garage
Security service
Generator
Water reservoir",East Legon,"2,500 m2"
1606974859-3585,https://meqasa.com/houses-for-rent-in-ghana?w=30,Read more,https://meqasa.com/townhouse-for-rent-at-null-Residential-Area-094900?y=272599928,3 bedroom townhouse for rent at null Residential Area,"GH₵ 27,000","Townhouse for Rent

Townhouse for Rent in null Residential Area",null,3,4,4,"Air conditioning
Cooker
Washing machine
Refrigerator
Internet
Dstv
Swimming pool
Generator
Water reservoir",null Residential Area,"null

null in null Residential Area"
1606949651-2953,https://meqasa.com/houses-for-rent-in-ghana?w=70,Read more,https://meqasa.com/apartment-for-rent-at-Teshie-115181?y=1501934175,3 bedroom apartment for rent at Teshie,"GH₵ 1,800","Apartment for Rent

Apartment for Rent in Teshie",10.00%,3,3,0,Air Conditioning,Teshie,null
1606971317-3352,https://meqasa.com/houses-for-rent-in-ghana?w=44,Read more,https://meqasa.com/apartment-for-rent-at-East-legon-American-House--145068?y=604157875,1 bedroom apartment for rent at East legon American House,"GH₵ 1,200","Apartment for Rent

Apartment for Rent in East legon American House",10.00%,1,1,3,"Air conditioning
Fans
Internet
Garden
Security service
Water reservoir",East Legon,540 m2
1606949662-2954,https://meqasa.com/houses-for-rent-in-ghana?w=70,Read more,https://meqasa.com/apartment-for-rent-at-Tse-Addo-114302?y=1501934175,2 bedroom apartment for rent at Tse Addo,"GH₵ 1,500","Apartment for Rent

Apartment for Rent in Tse Addo",10.00%,2,2,0,Air Conditioning,Tse Addo,null
1606973151-3465,https://meqasa.com/houses-for-rent-in-ghana?w=37,Read more,https://meqasa.com/house-for-rent-at-East-legon--120738?y=1370173893,4 bedroom house for rent at East legon,"GH₵ 10,878","House for Rent

House for Rent in East legon",10.00%,4,5,6,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Garden
Annexe (Boys' quarters)
Roof terrace
Water reservoir",East Legon,650 m2
1606950859-2975,https://meqasa.com/houses-for-rent-in-ghana?w=68,Read more,https://meqasa.com/apartment-for-rent-at-East-Legon-114571?y=470163910,2 bedroom apartment for rent at East Legon,"GH₵ 3,000","Apartment for Rent

Apartment for Rent in East Legon",10.00%,2,2,0,Air Conditioning,East Legon,null
1606952260-3049,https://meqasa.com/houses-for-rent-in-ghana?w=63,Read more,https://meqasa.com/apartment-for-rent-at-Eastlegon--090630?y=1523923561,1 bedroom furnished apartment for rent at Eastlegon,"GH₵ 3,807","Apartment for Rent

Apartment for Rent in Eastlegon Around coco vanilla",10.00%,1,1,1,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Security service
Generator
Water reservoir",East Legon,100 m2
